CLASS_YR,GENDER,MAJOR,current_donor_status,DNR_GIVING,DNR_TOTAL_YEARS,first_gift,last_gift,last_gift_amount,last_gift_for,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13,Q14_1_1,Q14_2_1,Q14_3_1,Q14_4_1,Q14_5_1,Q14_6_1,Q14_7_1,Q14_8_1,Q14_9_1,Q14_10_1,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q17,Q2_1,Q2_2,Q2_3,Q2_5,Q2_7,Q2_8,Q2_10,Q2_11,Q2_13,Q2_14,Q1 - Topics
2015,M,Economics,Sybunt,5,1,4/30/2015,4/30/2015,5,Wesleyan Fund - Financial Aid,1/11/2018 15:46,1/11/2018 15:52,IP Address,45.50.172.34,100,374,TRUE,1/11/2018 15:52,R_3gSlhdeDxAS1awC,34.04859924,-118.4423981,email,EN,4,3,5,5,4,7,4,3,3,6,0,2,6,6,7,9,10,12,13,15,4,Reject,Reject,Accept,Accept,Accept,Accept,Accept,Accept,Accept,Accept,Accept,4,More than once,More than once,More than once,Often,More than once,Often,More than once,Often,Often,More than once,
2013,M,College Of Social Studies,Lybunt,70,5,6/27/2013,11/25/2016,5,Wesleyan Fund - Financial Aid,1/11/2018 15:49,1/11/2018 15:52,IP Address,73.7.39.247,100,225,TRUE,1/11/2018 15:52,R_e8Ky1pHDuJWADAJ,33.92030334,-84.61799622,email,EN,3,3,3,3,3,3,3,3,3,3,1,3,4,5,6,7,8,9,10,11,3,Accept,Accept,Accept,Accept,Accept,Accept,Accept,Accept,Accept,Accept,Accept,2,More than once,More than once,More than once,More than once,More than once,Very often,Never,Very often,Very often,Often,
2017,M,Biology,Lybunt,5,1,1/23/2017,1/23/2017,5,WSA Student Organization General Fund,1/11/2018 15:49,1/11/2018 15:53,IP Address,74.89.112.118,100,242,TRUE,1/11/2018 15:53,R_2eVvwC1fKqouKCE,40.85290527,-73.91390228,email,EN,8,5,7,6,5,10,6,5,5,5,2,3,5,6,8,9,11,12,14,15,5,Reject,Reject,Reject,Accept,Accept,Accept,Accept,Accept,Accept,Accept,Accept,5,Very often,Never,Often,Often,Often,Very often,More than once,More than once,Often,Often,
2018,M,Economics,Never,0,0,NA,NA,NA,NA,1/11/2018 15:48,1/11/2018 15:54,IP Address,107.77.225.11,100,356,TRUE,1/11/2018 15:54,R_2aztsvYXGkA7ZzI,40.84240723,-73.85559845,email,EN,3,1,0,2,1,0,4,4,0,3,1,2,3,4,5,6,7,8,9,10,3,Reject,Accept,Accept,Accept,Accept,Accept,Accept,Accept,Accept,Accept,Accept,7,Never,More than once,Never,Often,Often,Often,Never,More than once,Often,More than once,
2018,M,American Studies,Never,0,0,NA,NA,NA,NA,1/11/2018 15:49,1/11/2018 15:54,IP Address,129.133.214.178,100,310,TRUE,1/11/2018 15:54,R_URyHNG3i2gcsao9,41.56230164,-72.65059662,email,EN,7,4,4,4,4,7,6,4,4,3,1,2,3,4,4,4,4,5,5,5,2,Accept,Accept,Accept,Accept,Accept,Accept,Accept,Accept,Accept,Accept,Accept,3,More than once,Never,More than once,Often,Once,Very often,Never,Often,More than once,Often,
2018,F,College Of Social Studies,Never,0,0,NA,NA,NA,NA,1/11/2018 15:49,1/11/2018 15:54,IP Address,129.133.218.40,100,331,TRUE,1/11/2018 15:54,R_31nLbzGXGKBKhXh,41.56230164,-72.65059662,email,EN,7,4,10,5,4,9,5,4,3,10,1,3,4,6,6,9,12,12,12,15,5,Reject,Reject,Accept,Accept,Accept,Accept,Accept,Accept,Accept,Accept,Accept,6,More than once,Often,Often,More than once,Often,Often,Never,Very often,More than once,Very often,
2018,F,Religion,Never,0,0,NA,NA,NA,NA,1/11/2018 15:52,1/11/2018 15:56,IP Address,96.57.91.146,100,259,TRUE,1/11/2018 15:56,R_yVZhiS6xrtFZBiF,41.19949341,-73.71640015,email,EN,5,2,10,4,7,9,8,8,2,5,4,3,2,1,0,1,2,3,4,5,5,Reject,Reject,Reject,Reject,Accept,Accept,Accept,Reject,Reject,Reject,Reject,5,More than once,More than once,More than once,More than once,Once,Often,Once,More than once,More than once,More than once,
2014,M,Theater,Never,0,0,NA,NA,NA,NA,1/11/2018 15:52,1/11/2018 15:56,IP Address,216.14.2.18,100,264,TRUE,1/11/2018 15:56,R_3qVEb4apvIUkNhR,34.05329895,-118.2548981,email,EN,7,4,7,6,5,10,6,5,5,4,2,3,4,5,6,7,9,12,15,15,3,Reject,Reject,Reject,Accept,Accept,Accept,Accept,Accept,Accept,Accept,Reject,3,More than once,More than once,Once,More than once,More than once,Very often,Often,Often,Often,More than once,
2015,M,Film Studies,Donor,56,4,4/30/2015,11/22/2017,20,Wesleyan Fund - Financial Aid,1/11/2018 15:46,1/11/2018 15:56,IP Address,69.138.194.7,100,600,TRUE,1/11/2018 15:56,R_2YgP7NgP9Qyg2Fr,38.88650513,-77.09690094,email,EN,5,4,10,6,6,10,8,6,4,10,0,0,1,3,5,7,9,11,13,15,6,Reject,Reject,Reject,Reject,Reject,Accept,Accept,Accept,Accept,Accept,Accept,5,Often,Once,More than once,Often,More than once,Very often,More than once,Often,Often,More than once,
2013,F,English,Lybunt,68,5,6/27/2013,3/21/2017,20,Wesleyan Fund - Financial Aid,1/11/2018 15:50,1/11/2018 15:56,IP Address,4.59.18.176,100,378,TRUE,1/11/2018 15:56,R_Owkszp10Chmmvo5,40.64509583,-73.94499969,email,EN,9,6,9,8,7,15,9,7,7,8,1,3,4,6,7,8,10,11,13,14,8,Accept,Accept,Accept,Accept,Accept,Accept,Accept,Accept,Accept,Accept,Accept,10,Often,Often,More than once,Very often,Very often,Often,Very often,Often,More than once,More than once,
